Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,VERY GOOD,,-65.00,595.00,196.35,LG270767367,4.45,4.46,2.75,56.5,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767367.pdf,https://s3.amazonaws.com/lgdvideos/LG270767367.mp4
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,196.35,LG270767368,4.45,4.46,2.75,56.0,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767368.pdf,https://s3.amazonaws.com/lgdvideos/LG270767368.mp4
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,VERY GOOD,,-65.00,595.00,196.35,LG270767369,4.46,4.48,2.74,57.5,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767369.pdf,            
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,196.35,LG265744469,4.46,4.49,2.71,59.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265744469.pdf,https://s3.amazonaws.com/lgdvideos/LG265744469.mp4
ROUND,I,SI1,0.33,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-65.00,595.00,196.35,LG265707284,4.43,4.45,2.73,60.5,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707284.pdf,https://s3.amazonaws.com/lgdvideos/LG265707284.mp4
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,196.35,LG265707294,4.45,4.5,2.73,58.0,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707294.pdf,https://s3.amazonaws.com/lgdvideos/LG265707294.mp4
ROUND,I,SI2,0.34,IGI,IDEAL,EXCELLENT,VERY GOOD,,-62.00,570.00,193.80,LG265707519,4.44,4.45,2.74,56.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707519.pdf,https://s3.amazonaws.com/lgdvideos/LG265707519.mp4
ROUND,I,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,196.35,LG265707529,4.43,4.45,2.75,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707529.pdf,https://s3.amazonaws.com/lgdvideos/LG265707529.mp4
ROUND,I,SI2,0.34,IGI,IDEAL,VERY GOOD,VERY GOOD,,-62.00,570.00,193.80,LG265707520,4.48,4.49,2.77,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707520.pdf,https://s3.amazonaws.com/lgdvideos/LG265707520.mp4
ROUND,I,SI1,0.33,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-65.00,595.00,196.35,LG332808407,4.46,4.49,2.76,57.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG332808407.pdf,            
